"account1","帐目1","AA"
"account1","cuenta1","AA"
"account1","conto1","AA"
"account1","アカウント1","AA"
"account1","Format","AS"
"account1","wertart1","AA"
"account1","compte1","AA"
"actvsbud","实际值VS预算","AA"
"actvsbud","Presactivo","AA"
"actvsbud","bilattivo","AA"
"actvsbud","実数と予算","AA"
"actvsbud","datenart","AA"
"actvsbud","réelebud","AA"
"model","型号","AA"
"model","modelo","AA"
"model","modelli","AA"
"model","モデル","AA"
"model","Engine Size","AS"
"model","modell","AA"
"model","modèle","AA"
"month","月份","AA"
"month","mes","AA"
"month","mese","AA"
"month","月","AA"
"month","monat","AA"
"month","mois","AA"
"region","地区","AA"
"region","región","AA"
"region","regione","AA"
"region","地域","AA"
"region","region","AA"
"region","Format","AS"
"region","région","AA"
